animal,lean,bulbous,active,agility,slow,gray
antelope,1,0,1,1,0,0
grizzly+bear,0,1,1,0,1,0
killer+whale,1,1,1,1,0,0
beaver,0,1,1,1,0,0
dalmatian,1,0,1,1,0,0
persian+cat,0,1,0,1,1,1
horse,1,0,1,1,0,1
german+shepherd,1,0,1,1,0,1
blue+whale,0,1,0,0,1,1
siamese+cat,1,0,1,1,0,1
skunk,0,1,1,0,1,0
mole,1,1,1,1,1,1
tiger,1,0,1,1,0,0
hippopotamus,0,1,0,0,1,1
leopard,1,0,1,1,0,0
moose,0,1,0,0,1,0
spider+monkey,1,0,1,1,0,1
humpback+whale,0,1,0,0,1,1
elephant,0,1,0,0,1,1
gorilla,0,1,1,1,0,0
ox,0,1,0,0,1,1
fox,1,0,1,1,0,0
sheep,0,1,0,0,1,0
seal,0,0,1,1,1,1
chimpanzee,1,0,1,1,0,0
hamster,0,1,1,1,0,1
squirrel,0,0,1,1,0,1
rhinoceros,0,1,0,0,1,1
rabbit,0,1,1,1,0,1
bat,1,0,1,1,0,1
giraffe,1,0,1,0,1,0
wolf,1,0,1,1,0,1
chihuahua,1,0,1,0,0,1
rat,1,1,1,1,0,1
weasel,1,0,1,1,0,1
otter,1,1,1,1,0,0
buffalo,0,1,0,0,1,0
zebra,1,0,1,1,0,0
giant+panda,0,1,0,0,1,0
deer,1,0,1,1,0,0
